symbol,trades,win_rate,avg_rr,expectancy_rr,total_rr,profit_factor,max_drawdown_rr,best_rr,worst_rr
NIFTY,8,0.875,1.0063,1.0063,8.05,9.05,-1.0,2.1075,-1.0
SENSEX,10,0.7,0.7919,0.7919,7.9193,3.6398,-2.0,3.5825,-1.0
RELIANCE,11,0.4545,-0.1026,-0.1026,-1.1281,0.812,-3.5861,1.2651,-1.0
