strategy_type,pivot_len,entry_retracement,target_type,target_rr,trades,win_rate,expectancy_rr,total_rr,max_drawdown_rr
Credit Spread,8,0.618,rr_ratio,2.0,329,0.4468,-0.1206,-39.6868,-47.6868
Credit Spread,5,0.705,rr_ratio,2.0,390,0.4385,-0.123,-47.989,-59.212
Ratio,8,0.786,extension_0272,0.0,215,0.3163,-0.1342,-28.8517,-56.5084
Credit Spread,8,0.786,rr_ratio,2.0,226,0.4292,-0.1482,-33.4838,-41.0824
Credit Spread,8,0.705,extreme,0.0,283,0.4276,-0.1505,-42.5871,-49.5871
Credit Spread,8,0.618,rr_ratio,3.0,316,0.4304,-0.1542,-48.7274,-55.7274
Credit Spread,8,0.705,rr_ratio,2.0,282,0.422,-0.1617,-45.5871,-52.5871
Credit Spread,5,0.618,rr_ratio,3.0,436,0.4151,-0.176,-76.7285,-83.7285
Credit Spread,5,0.705,extension_0272,0.0,381,0.3832,-0.2336,-89.0005,-95.2235
Credit Spread,5,0.786,extreme,0.0,313,0.377,-0.248,-77.6379,-86.6379
Credit Spread,8,0.705,extension_0272,0.0,270,0.3778,-0.2504,-67.5986,-71.5986
Credit Spread,8,0.705,rr_ratio,3.0,265,0.3623,-0.2815,-74.5986,-78.5986
Credit Spread,8,0.786,extreme,0.0,221,0.362,-0.2827,-62.4838,-67.4838
Credit Spread,5,0.705,rr_ratio,3.0,374,0.3556,-0.2888,-108.0005,-113.0005
Credit Spread,8,0.786,rr_ratio,3.0,220,0.3545,-0.2977,-65.4838,-70.4838
Credit Spread,5,0.786,rr_ratio,3.0,310,0.3484,-0.3053,-94.6379,-102.6379
Credit Spread,8,0.786,extension_0272,0.0,215,0.3302,-0.3422,-73.5796,-77.5796
Credit Spread,5,0.786,extension_0272,0.0,305,0.3049,-0.3892,-118.7121,-124.7121
