symbol,trades,win_rate,avg_rr,expectancy_rr,total_rr,profit_factor,max_drawdown_rr,best_rr,worst_rr
NIFTY,182,0.5495,0.8535,0.8535,155.341,2.8944,-4.0,2.5,-1.0
SENSEX,186,0.5108,0.6971,0.6971,129.6683,2.4249,-6.0501,2.5,-1.0
RELIANCE,164,0.6037,0.8604,0.8604,141.1121,3.171,-4.6712,2.5,-1.0
