Timestamp,Action,Index,Index_Name,Strategy_Type,Broker_Lot_Size,Total_Lots_Deployed,Total_Quantity,Margin_Blocked,Spot_Price,Sell_CE_Strike,Sell_PE_Strike,Sell_CE,Sell_PE,Buy_CE,Buy_PE,Net_Premium,PnL,Exit_Reason,Notes
2026-05-07 09:20:02,EXIT,SENSEX,SENSEX,,20,,,,77870.63,78000.0,78000.0,184.2,305.55,2.85,4.5,482.4,3337.0,LEVEL_UP_TARGET,Local Paper Trade Closed
2026-05-07 09:20:15,ENTRY,SENSEX,SENSEX,,20,,,,77862.52,77900.0,77900.0,227.3,247.05,13.0,12.5,448.85,0.0,,Local Paper Trade (Simulated)
2026-05-07 12:32:25,EXIT,SENSEX,SENSEX,,20,,,,77958.52,77900.0,77900.0,227.3,247.05,13.0,12.5,448.85,0.0,MANUAL_EXIT,Local Paper Trade Closed
2026-05-07 12:32:28,ENTRY,NIFTY,NIFTY,,65,,,,24345.85,24350.0,24350.0,185.25,171.6,9.2,8.8,338.85,0.0,,Local Paper Trade (Simulated)
2026-05-08 09:42:33,EXIT,NIFTY,NIFTY,,65,,,,24177.9,24350.0,24350.0,99.65,253.9,4.7,9.45,339.4,-35.75,ATM_DRIFT,Local Paper Trade Closed
2026-05-08 09:42:46,ENTRY,NIFTY,NIFTY,,65,,,,24174.6,24150.0,24150.0,188.4,145.65,9.3,7.5,317.25,0.0,,Local Paper Trade (Simulated)
2026-05-08 11:12:59,EXIT,NIFTY,NIFTY,,65,,,,24326.65,24150.0,24150.0,303.9,75.35,19.3,4.0,355.95,-2515.5,ATM_DRIFT,Local Paper Trade Closed
2026-05-08 11:14:01,ENTRY,NIFTY,NIFTY,,65,,,,24232.25,24250.0,24250.0,161.95,160.05,8.35,8.7,304.95,0.0,,Local Paper Trade (Simulated)
2026-05-08 15:25:00,EXIT,NIFTY,NIFTY,,65,,,,24170.7,24250.0,24250.0,130.85,161.4,6.55,5.75,279.95,1625.0,TIME_EXIT,Local Paper Trade Closed
2026-05-11 09:16:01,ENTRY,NIFTY,NIFTY,,65,,,,23947.75,23950.0,23950.0,133.4,124.7,6.05,5.7,246.35,0.0,,Local Paper Trade (Simulated)
2026-05-11 15:06:10,EXIT,NIFTY,NIFTY,,65,,,,23819.8,23950.0,23950.0,57.5,162.55,2.85,4.1,213.1,2161.25,ATM_DRIFT,Local Paper Trade Closed
2026-05-12 09:20:01,ENTRY,NIFTY,NIFTY,,65,,,,23735.05,23750.0,23750.0,57.2,74.7,2.85,3.5,125.55,0.0,,Local Paper Trade (Simulated)
2026-05-12 09:20:03,EXIT,NIFTY,NIFTY,,65,,,,23722.6,23750.0,23750.0,152.5,53.55,19.3,6.85,179.9,-3532.75,CATASTROPHE_KILL,Local Paper Trade Closed
2026-05-12 09:52:58,ENTRY,NIFTY,NIFTY,,65,,,,23634.75,23650.0,23650.0,58.85,65.9,2.8,2.45,119.5,0.0,,Local Paper Trade (Simulated)
2026-05-12 09:53:00,EXIT,NIFTY,NIFTY,,65,,,,23722.6,23650.0,23650.0,225.7,27.1,2.6,2.25,247.95,-8349.25,CATASTROPHE_KILL,Local Paper Trade Closed
2026-05-12 10:14:14,ENTRY,NIFTY,NIFTY,,65,,,,23649.15,23650.0,23650.0,61.75,56.9,3.05,2.95,112.65,0.0,,Local Paper Trade (Simulated)
2026-05-12 11:03:48,EXIT,NIFTY,NIFTY,,65,,,,23584.85,23650.0,23650.0,30.9,81.9,2.5,4.0,106.3,412.75,ATM_DRIFT,Local Paper Trade Closed
2026-05-12 11:20:11,ENTRY,NIFTY,NIFTY,,65,,,,23609.75,23600.0,23600.0,64.0,41.85,2.95,1.8,101.1,0.0,,Local Paper Trade (Simulated)
2026-05-12 12:30:55,EXIT,NIFTY,NIFTY,,65,,,,23534.8,23600.0,23600.0,26.95,89.6,2.65,4.1,109.8,-565.5,ATM_DRIFT,Local Paper Trade Closed
2026-05-12 12:31:59,ENTRY,SENSEX,SENSEX,,20,,,,74996.45,75000.0,75000.0,513.9,472.4,25.05,23.5,937.75,0.0,,Local Paper Trade (Simulated)
2026-05-12 12:32:01,EXIT,SENSEX,SENSEX,,20,,,,76015.28,75000.0,75000.0,621.6,309.0,26.75,14.7,889.15,972.0,ATM_DRIFT,Local Paper Trade Closed
2026-05-12 12:38:44,ENTRY,NIFTY,NIFTY,,65,,,,23520.3,23500.0,23500.0,68.7,34.85,3.3,1.75,98.5,0.0,,Local Paper Trade (Simulated)
2026-05-12 14:35:17,EXIT,NIFTY,NIFTY,,65,,,,23434.9,23500.0,23500.0,4.6,58.15,0.5,0.55,61.7,2392.0,ATM_DRIFT,Local Paper Trade Closed
2026-05-12 14:46:01,ENTRY,NIFTY,NIFTY,,65,,,,23468.85,23450.0,23450.0,31.15,11.4,1.7,0.5,40.35,0.0,,Local Paper Trade (Simulated)
2026-05-12 14:46:12,EXIT,NIFTY,NIFTY,,65,,,,23466.4,23450.0,23450.0,31.35,11.3,1.8,0.55,40.3,3.25,MANUAL_EXIT,Local Paper Trade Closed
2026-05-12 15:05:30,ENTRY,NIFTY,NIFTY,,65,,,,23385.3,23400.0,23400.0,2.7,20.6,0.15,0.9,22.25,0.0,,Local Paper Trade (Simulated)
2026-05-12 15:05:46,EXIT,NIFTY,NIFTY,,65,,,,23382.4,23400.0,23400.0,1.25,21.05,0.2,0.85,21.25,65.0,MANUAL_EXIT,Local Paper Trade Closed
2026-05-13 09:16:01,ENTRY,SENSEX,SENSEX,,20,,,,74803.67,74800.0,74800.0,457.8,400.7,23.8,19.1,815.6,0.0,,Local Paper Trade (Simulated)
2026-05-13 09:35:08,EXIT,SENSEX,SENSEX,,20,,,,74366.44,74800.0,74800.0,280.75,619.3,18.8,34.35,846.9,-626.0,ATM_DRIFT,Local Paper Trade Closed
2026-05-13 09:40:43,ENTRY,SENSEX,SENSEX,,20,,,,74173.73,74200.0,74200.0,471.25,403.35,24.85,19.15,830.6,0.0,,Local Paper Trade (Simulated)
2026-05-13 10:20:27,EXIT,SENSEX,SENSEX,,20,,,,74686.71,74200.0,74200.0,809.4,236.0,39.0,15.2,991.2,-3212.0,ATM_DRIFT,Local Paper Trade Closed
2026-05-13 10:45:49,ENTRY,SENSEX,SENSEX,,20,,,,74761.65,74800.0,74800.0,449.6,415.25,22.25,20.35,822.25,0.0,,Local Paper Trade (Simulated)
2026-05-13 15:25:00,EXIT,SENSEX,SENSEX,,20,,,,74581.13,74800.0,74800.0,273.8,409.6,7.9,5.95,669.55,3054.0,BTST_RECENTER,Local Paper Trade Closed
2026-05-13 15:25:02,ENTRY,SENSEX,SENSEX,,20,,,,74579.38,74600.0,74600.0,378.9,318.5,19.2,15.75,662.45,0.0,,Local Paper Trade (Simulated)
2026-05-14 09:20:03,EXIT,SENSEX,SENSEX,,20,,,,75007.14,74600.0,74600.0,482.45,87.35,8.5,2.95,558.35,2082.0,ATM_DRIFT,Local Paper Trade Closed
