strategy_name,symbol,entry_time,exit_time,side,quantity,entry_price,exit_price,pnl,slippage
PullbackSniper,NIFTY,2025-12-12T14:35:00,2025-12-15T09:20:00,BUY,1,26039.953735,26048.78214285714,8.828407857141428,0.0
PullbackSniper,NIFTY,2025-12-15T13:55:00,2025-12-15T14:10:00,BUY,1,26035.553295,26010.578571428574,-24.974723571427603,0.0
PullbackSniper,RELIANCE,2025-12-15T13:50:00,2025-12-15T14:15:00,BUY,1,1555.7555599999998,1552.9285714285713,-2.826988571428501,0.0
PullbackSniper,RELIANCE,2025-12-16T12:00:00,2025-12-16T12:35:00,SELL,1,1542.54573,1547.0714285714287,-4.52569857142862,0.0
PullbackSniper,NIFTY,2025-12-16T12:40:00,2025-12-16T13:50:00,SELL,1,25887.261015,25918.5,-31.238984999999957,0.0
PullbackSniper,RELIANCE,2025-12-17T12:30:00,2025-12-17T13:30:00,SELL,1,1541.7458100000001,1539.9357142857143,1.8100957142858078,0.0
PullbackSniper,NIFTY,2025-12-17T11:20:00,2025-12-17T14:45:00,SELL,1,25837.11603,25771.699999999997,65.41603000000396,0.0
PullbackSniper,NIFTY,2025-12-19T11:15:00,2025-12-19T11:45:00,BUY,1,25957.345475,25923.649999999998,-33.69547500000044,0.0
PullbackSniper,RELIANCE,2025-12-19T11:50:00,2025-12-19T13:15:00,BUY,1,1569.75696,1565.6571428571426,-4.099817142857319,0.0
PullbackSniper,NIFTY,2025-12-19T14:40:00,2025-12-19T15:05:00,BUY,1,25977.347475,25947.392857142855,-29.954617857143603,0.0
PullbackSniper,RELIANCE,2025-12-22T10:50:00,2025-12-22T12:00:00,BUY,1,1572.1572,1573.5714285714287,1.4142285714285663,0.0
PullbackSniper,NIFTY,2025-12-22T13:20:00,2025-12-23T09:20:00,BUY,1,26146.31437,26192.52857142857,46.21420142857096,0.0
PullbackSniper,RELIANCE,2025-12-23T09:55:00,2025-12-23T13:40:00,BUY,1,1574.95748,1577.0,2.0425199999999677,0.0
PullbackSniper,RELIANCE,2025-12-24T14:15:00,2025-12-29T09:20:00,SELL,1,1558.8441,1552.3142857142857,6.5298142857143375,0.0
PullbackSniper,NIFTY,2025-12-26T13:25:00,2025-12-29T09:20:00,SELL,1,26043.445395,26026.014285714286,17.43110928571332,0.0
PullbackSniper,NIFTY,2025-12-29T14:15:00,2025-12-29T14:30:00,SELL,1,25940.755664999997,25930.985714285714,9.769950714282459,0.0
PullbackSniper,RELIANCE,2025-12-29T12:15:00,2025-12-30T09:40:00,SELL,1,1548.94509,1545.7571428571428,3.1879471428571833,0.0
PullbackSniper,NIFTY,2025-12-30T09:50:00,2025-12-30T10:00:00,SELL,1,25905.659175,25952.89285714286,-47.233682142858015,0.0
PullbackSniper,RELIANCE,2025-12-30T13:25:00,2025-12-30T13:45:00,SELL,1,1542.54573,1546.057142857143,-3.5114128571428864,0.0
PullbackSniper,NIFTY,2025-12-30T12:45:00,2025-12-30T13:45:00,SELL,1,25897.160025,25886.975000000002,10.18502499999886,0.0
PullbackSniper,RELIANCE,2026-01-01T10:25:00,2026-01-01T15:20:00,BUY,1,1581.1581,1572.8142857142857,-8.343814285714416,0.0
PullbackSniper,RELIANCE,2026-01-02T11:30:00,2026-01-02T15:15:00,BUY,1,1586.65865,1593.3,6.641349999999875,0.0
PullbackSniper,RELIANCE,2026-01-05T10:10:00,2026-01-05T13:00:00,BUY,1,1597.85977,1589.3142857142857,-8.545484285714338,0.0
PullbackSniper,NIFTY,2026-01-05T10:00:00,2026-01-05T13:55:00,BUY,1,26319.53169,26364.035714285717,44.504024285717605,0.0
PullbackSniper,RELIANCE,2026-01-06T14:00:00,2026-01-06T14:50:00,SELL,1,1505.8494,1501.1571428571428,4.6922571428572155,0.0
PullbackSniper,NIFTY,2026-01-06T11:55:00,2026-01-07T09:20:00,SELL,1,26189.68077,26117.52857142857,72.15219857142802,0.0
PullbackSniper,NIFTY,2026-01-07T13:15:00,2026-01-07T15:05:00,SELL,1,26100.28971,26077.4,22.889709999999468,0.0
PullbackSniper,RELIANCE,2026-01-07T13:20:00,2026-01-08T09:20:00,SELL,1,1503.94959,1497.1571428571428,6.7924471428571,0.0
PullbackSniper,NIFTY,2026-01-09T10:05:00,2026-01-09T11:55:00,SELL,1,25869.962745,25736.62142857143,133.34131642857028,0.0
PullbackSniper,RELIANCE,2026-01-09T12:25:00,2026-01-09T13:40:00,SELL,1,1469.35305,1465.142857142857,4.210192857142829,0.0
PullbackSniper,NIFTY,2026-01-09T14:55:00,2026-01-12T09:25:00,SELL,1,25667.183025,25588.121428571427,79.06159642857165,0.0
PullbackSniper,RELIANCE,2026-01-12T10:10:00,2026-01-12T12:55:00,SELL,1,1462.65372,1454.4142857142856,8.239434285714424,0.0
PullbackSniper,NIFTY,2026-01-13T14:00:00,2026-01-13T14:50:00,SELL,1,25661.083635000003,25619.778571428575,41.305063571428036,0.0
PullbackSniper,RELIANCE,2026-01-13T14:00:00,2026-01-13T15:05:00,SELL,1,1454.9544899999999,1446.5571428571427,8.397347142857143,0.0
PullbackSniper,NIFTY,2026-01-19T11:10:00,2026-01-19T13:55:00,SELL,1,25544.295315,25523.199999999997,21.0953150000023,0.0
PullbackSniper,RELIANCE,2026-01-20T09:30:00,2026-01-20T11:15:00,SELL,1,1409.9589899999999,1399.7571428571428,10.201847142857105,0.0
