strategy_name,symbol,entry_time,exit_time,side,quantity,entry_price,exit_price,pnl,slippage
LiquiditySweepA,RELIANCE,2025-12-16T12:35:00,2025-12-16T12:40:00,BUY,1,1546.55464,1544.4,-2.154639999999972,0.0
LiquiditySweepA,RELIANCE,2025-12-19T13:15:00,2025-12-19T13:20:00,SELL,1,1565.74341,1568.2,-2.4565900000000056,0.0
LiquiditySweepA,NIFTY,2025-12-23T14:45:00,2025-12-24T09:20:00,SELL,1,26164.58328,26209.75,-45.16672000000108,0.0
LiquiditySweepA,NIFTY,2026-01-12T12:15:00,2026-01-12T12:45:00,BUY,1,25580.85783,25712.899999999998,132.042169999997,0.0
LiquiditySweepA,RELIANCE,2026-01-12T12:15:00,2026-01-12T13:35:00,BUY,1,1461.74616,1474.6,12.853839999999991,0.0
LiquiditySweepA,NIFTY,2026-01-16T12:30:00,2026-01-19T09:20:00,SELL,1,25749.52479,25630.399999999994,119.1247900000053,0.0
LiquiditySweepA,NIFTY,2026-02-01T12:15:00,2026-02-01T12:35:00,SELL,1,25221.027645,24898.749999999996,322.27764500000194,0.0
LiquiditySweepA,RELIANCE,2026-02-01T12:20:00,2026-02-01T15:30:00,SELL,1,1380.56193,1335.5000000000002,45.06192999999985,0.0
LiquiditySweepA,RELIANCE,2026-02-05T15:05:00,2026-02-05T15:10:00,BUY,1,1447.1447,1442.6,-4.544700000000148,0.0
LiquiditySweepA,RELIANCE,2026-02-10T15:05:00,2026-02-10T15:10:00,BUY,1,1461.44613,1457.7,-3.7461299999999937,0.0
LiquiditySweepA,NIFTY,2026-02-10T15:20:00,2026-02-11T09:20:00,SELL,1,25916.70807,25937.05,-20.341929999998683,0.0
LiquiditySweepA,RELIANCE,2026-03-06T11:25:00,2026-03-06T11:40:00,SELL,1,1412.95869,1418.4,-5.441310000000158,0.0
LiquiditySweepA,RELIANCE,2026-03-17T15:05:00,2026-03-18T09:20:00,SELL,1,1397.1602699999999,1405.0,-7.839730000000145,0.0
LiquiditySweepA,NIFTY,2026-03-23T14:05:00,2026-03-23T14:35:00,BUY,1,22647.014475,22590.45,-56.56447499999922,0.0
LiquiditySweepA,RELIANCE,2026-03-25T14:15:00,2026-03-25T15:00:00,SELL,1,1419.6580199999999,1414.3999999999999,5.258019999999988,0.0
LiquiditySweepA,RELIANCE,2026-04-02T14:15:00,2026-04-02T14:45:00,BUY,1,1352.43523,1348.5,-3.935230000000047,0.0
LiquiditySweepA,RELIANCE,2026-04-15T13:55:00,2026-04-15T14:25:00,SELL,1,1337.06628,1339.8,-2.7337199999999484,0.0
LiquiditySweepA,NIFTY,2026-04-22T14:00:00,2026-04-22T14:05:00,BUY,1,24451.994955,24421.65,-30.344954999996844,0.0
LiquiditySweepA,RELIANCE,2026-05-26T15:10:00,2026-05-27T09:20:00,BUY,1,1360.136,1352.4,-7.735999999999876,0.0
