strategy_name,symbol,entry_time,exit_time,side,quantity,entry_price,exit_price,pnl,slippage
MtfTrendB,RELIANCE,2025-12-22T12:55:00,2025-12-24T11:05:00,BUY,1,1571.05709,1565.3,-5.757090000000062,0.0
MtfTrendB,NIFTY,2025-12-23T10:00:00,2025-12-26T09:20:00,BUY,1,26175.417279999998,26119.05,-56.36727999999857,0.0
MtfTrendB,NIFTY,2025-12-30T09:20:00,2025-12-30T10:20:00,SELL,1,25905.459195,25956.15,-50.690805000002,0.0
MtfTrendB,RELIANCE,2025-12-30T10:55:00,2025-12-30T11:20:00,SELL,1,1549.04508,1545.2,3.8450800000000527,0.0
MtfTrendB,NIFTY,2025-12-30T10:55:00,2025-12-30T15:30:00,SELL,1,25928.756865,25975.85,-47.093134999999165,0.0
MtfTrendB,RELIANCE,2025-12-30T14:00:00,2025-12-31T09:20:00,SELL,1,1542.54573,1546.4,-3.8542700000000423,0.0
MtfTrendB,NIFTY,2026-01-01T10:50:00,2026-01-01T12:20:00,BUY,1,26184.868225,26117.7,-67.16822499999762,0.0
MtfTrendB,RELIANCE,2026-01-01T12:35:00,2026-01-01T13:15:00,BUY,1,1579.1579,1574.3,-4.857899999999972,0.0
MtfTrendB,NIFTY,2026-01-01T12:50:00,2026-01-01T15:20:00,BUY,1,26159.01564,26126.85,-32.165640000002895,0.0
MtfTrendB,NIFTY,2026-01-02T09:20:00,2026-01-02T12:35:00,BUY,1,26184.268165,26308.15,123.88183500000014,0.0
MtfTrendB,RELIANCE,2026-01-02T11:30:00,2026-01-02T15:15:00,BUY,1,1586.65865,1594.3000000000002,7.641350000000102,0.0
MtfTrendB,NIFTY,2026-01-05T09:20:00,2026-01-05T09:25:00,BUY,1,26342.884025,26306.15,-36.73402499999793,0.0
MtfTrendB,RELIANCE,2026-01-05T09:20:00,2026-01-05T12:05:00,BUY,1,1603.1603,1591.4,-11.760299999999916,0.0
MtfTrendB,NIFTY,2026-01-05T10:10:00,2026-01-05T13:50:00,BUY,1,26337.983535,26272.2,-65.78353499999866,0.0
MtfTrendB,NIFTY,2026-01-05T14:55:00,2026-01-06T09:20:00,BUY,1,26276.12735,26226.25,-49.87734999999884,0.0
MtfTrendB,NIFTY,2026-01-06T10:00:00,2026-01-06T11:20:00,BUY,1,26259.42568,26171.85,-87.57568000000174,0.0
MtfTrendB,NIFTY,2026-01-06T13:00:00,2026-01-06T13:30:00,BUY,1,26181.517890000003,26155.25,-26.267890000002808,0.0
MtfTrendB,NIFTY,2026-01-06T13:50:00,2026-01-06T14:10:00,BUY,1,26173.21706,26147.15,-26.067059999997582,0.0
MtfTrendB,RELIANCE,2026-01-06T14:10:00,2026-01-06T14:50:00,SELL,1,1501.04988,1507.9,-6.850120000000061,0.0
MtfTrendB,RELIANCE,2026-01-07T10:20:00,2026-01-08T09:20:00,SELL,1,1509.849,1496.4,13.448999999999842,0.0
MtfTrendB,RELIANCE,2026-01-08T09:20:00,2026-01-08T12:40:00,SELL,1,1495.2504600000002,1473.4,21.850460000000112,0.0
MtfTrendB,NIFTY,2026-01-08T14:30:00,2026-01-09T09:35:00,SELL,1,25902.859455,25823.95,78.90945500000089,0.0
MtfTrendB,RELIANCE,2026-01-09T11:40:00,2026-01-09T13:40:00,SELL,1,1466.8533,1475.0,-8.14670000000001,0.0
MtfTrendB,RELIANCE,2026-01-09T14:15:00,2026-01-09T15:05:00,SELL,1,1470.1529699999999,1475.0,-4.847030000000132,0.0
MtfTrendB,NIFTY,2026-01-09T13:45:00,2026-01-12T09:25:00,SELL,1,25681.23162,25590.599999999995,90.63162000000375,0.0
MtfTrendB,RELIANCE,2026-01-12T09:20:00,2026-01-12T13:55:00,SELL,1,1464.35355,1477.9,-13.54645000000005,0.0
MtfTrendB,RELIANCE,2026-01-13T09:20:00,2026-01-13T14:20:00,SELL,1,1474.15257,1451.3,22.852570000000014,0.0
MtfTrendB,RELIANCE,2026-01-13T15:05:00,2026-01-13T15:20:00,SELL,1,1446.25536,1456.8,-10.544639999999845,0.0
MtfTrendB,RELIANCE,2026-01-14T12:10:00,2026-01-14T12:40:00,SELL,1,1460.25396,1465.3,-5.046039999999948,0.0
