symbol,date,direction,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,risk_points,pnl_points,rr_realized,risk_amount,pnl_amount,score,exit_reason,setup_notes
SENSEX,2026-05-27,BULLISH,2026-05-27 10:05:00,2026-05-27 14:30:00,76062.85,75823.6469,75823.6469,76242.2524,239.2031,-1.8182,-1.0,290.91,-290.91,100,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_volume;volume_expansion;greeks_iv_proxy_ok;premium_momentum_proxy;lots=8;spread_width=20.0;bull_put_credit_spread;Credit;Mean-Reverting Grind
SENSEX,2026-06-03,BULLISH,2026-06-03 12:30:00,2026-06-03 13:45:00,73961.45,74315.8611,73488.9019,74315.8611,472.5481,18.1818,10.0,290.91,2909.09,100,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_volume;volume_expansion;greeks_iv_proxy_ok;premium_momentum_proxy;mid_day_lull_raised_threshold;lots=8;spread_width=20.0;bull_put_credit_spread;Credit;Mean-Reverting Grind
SENSEX,2026-06-04,BEARISH,2026-06-04 13:10:00,2026-06-04 15:00:00,74109.26,74286.36,74547.9455,73780.2459,438.6855,10.1077,5.5592,290.91,1617.23,100,TIME_EXIT,BOS;liquidity_sweep;vwap_aligned;oi_proxy_volume;volume_expansion;greeks_iv_proxy_ok;premium_momentum_proxy;mid_day_lull_raised_threshold;lots=8;spread_width=20.0;bear_call_credit_spread;Credit;Mean-Reverting Grind
RELIANCE,2025-12-09,BULLISH,2025-12-09 10:05:00,2025-12-09 15:00:00,1531.0,1528.7,1521.5234,1538.1074,9.4766,1.3328,7.3303,299.82,2197.74,80,TIME_EXIT,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=1649;spread_width=2.0;bull_put_credit_spread;Credit;Mean-Reverting Grind
RELIANCE,2025-12-10,BEARISH,2025-12-10 12:00:00,2025-12-10 15:00:00,1540.6,1538.3,1547.577,1535.3672,6.977,1.8182,10.0,299.82,2998.18,80,TIME_EXIT,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;mid_day_lull_raised_threshold;lots=1649;spread_width=2.0;bear_call_credit_spread;Credit;Mean-Reverting Grind
RELIANCE,2025-12-11,BULLISH,2025-12-11 10:10:00,2025-12-11 12:00:00,1533.4,1540.5075,1523.9233,1540.5075,9.4767,1.8182,10.0,299.82,2998.18,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=1649;spread_width=2.0;bull_put_credit_spread;Credit;Mean-Reverting Grind
RELIANCE,2025-12-16,BULLISH,2025-12-16 11:50:00,2025-12-16 15:00:00,1545.5,1544.2,1538.7227,1550.583,6.7773,1.4345,7.89,299.82,2365.57,80,TIME_EXIT,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;mid_day_lull_raised_threshold;lots=1649;spread_width=2.0;bull_put_credit_spread;Credit;Mean-Reverting Grind
RELIANCE,2025-12-19,BEARISH,2025-12-19 13:10:00,2025-12-19 15:00:00,1565.9,1565.0,1574.2783,1559.6163,8.3783,1.8182,10.0,299.82,2998.18,100,TIME_EXIT,BOS;liquidity_sweep;vwap_aligned;oi_proxy_volume;volume_expansion;greeks_iv_proxy_ok;premium_momentum_proxy;mid_day_lull_raised_threshold;lots=1649;spread_width=2.0;bear_call_credit_spread;Credit;Mean-Reverting Grind
RELIANCE,2025-12-22,BEARISH,2025-12-22 11:45:00,2025-12-22 12:45:00,1570.0,1565.4411,1576.0785,1565.4411,6.0785,1.8182,10.0,299.82,2998.18,100,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_volume;volume_expansion;greeks_iv_proxy_ok;premium_momentum_proxy;mid_day_lull_raised_threshold;lots=1649;spread_width=2.0;bear_call_credit_spread;Credit;Mean-Reverting Grind
RELIANCE,2026-01-12,BULLISH,2026-01-12 12:10:00,2026-01-12 12:40:00,1461.6,1469.6048,1450.9269,1469.6048,10.6731,1.8182,10.0,299.82,2998.18,100,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_volume;volume_expansion;greeks_iv_proxy_ok;premium_momentum_proxy;mid_day_lull_raised_threshold;lots=1649;spread_width=2.0;bull_put_credit_spread;Credit;Mean-Reverting Grind
